flight_id,flight_date,airline_code,flight_number,route_id,origin_airport_code,destination_airport_code,scheduled_departure,actual_departure,scheduled_arrival,actual_arrival,arrival_delay_minutes,cancelled,diverted
F-0001,2026-06-01,OVR,1824,R-ATL-JFK,ATL,JFK,08:00,08:06,10:20,10:31,11,false,false
F-0002,2026-06-01,ALP,2331,R-DFW-LAX,DFW,LAX,09:10,09:45,10:45,11:31,46,false,false
F-0003,2026-06-01,NEX,1140,R-ORD-DEN,ORD,DEN,10:30,11:12,12:05,12:58,53,false,false
F-0004,2026-06-01,TCA,4012,R-ATL-DFW,ATL,DFW,12:15,12:20,13:45,13:52,7,false,false
F-0005,2026-06-01,CAS,770,R-SEA-SFO,SEA,SFO,13:00,13:58,15:15,16:24,69,false,false
F-0006,2026-06-02,OVR,2190,R-LAX-SFO,LAX,SFO,07:45,08:05,09:05,09:32,27,false,false
F-0007,2026-06-02,ALP,88,R-JFK-LAX,JFK,LAX,08:30,09:40,11:40,13:05,85,false,false
F-0008,2026-06-02,NEX,602,R-DEN-SEA,DEN,SEA,11:15,11:20,13:05,13:12,7,false,false
F-0009,2026-06-02,TCA,1455,R-DFW-LAX,DFW,LAX,14:20,15:05,15:55,16:48,53,false,false
F-0010,2026-06-02,CAS,331,R-SEA-SFO,SEA,SFO,18:00,18:44,20:10,21:02,52,false,false
F-0011,2026-06-03,OVR,1776,R-ATL-DFW,ATL,DFW,06:40,06:43,08:10,08:19,9,false,false
F-0012,2026-06-03,ALP,2450,R-ATL-JFK,ATL,JFK,09:35,10:21,11:55,12:52,57,false,false
F-0013,2026-06-03,NEX,901,R-JFK-LAX,JFK,LAX,13:25,14:55,16:35,18:18,103,false,false
F-0014,2026-06-03,TCA,2088,R-ORD-DEN,ORD,DEN,16:10,16:34,17:45,18:26,41,false,false
F-0015,2026-06-03,CAS,604,R-LAX-SFO,LAX,SFO,20:05,20:09,21:25,21:34,9,false,false
